Surname,PhD or Highest Degree,Research Domain 1,Research Domain 2,Research Domain 3,Academic Discipline
Essandoh-Yeddu,Economic Geology,Energy Systems,Climate & Energy Policy,,Engineering
Eyre,Nuclear Physics,Climate & Energy Policy,Technology Policy & Innovation,,Social Sciences
Faaij,Energy & Resources,Energy Systems,Land Use Science,Environmental Engineering,Engineering
Fifita,MD,,,,MD
Figueroa-Meza,MD,,,,MD
Finus,Environmental Economics,Environmental & Climate Economics,Climate & Energy Policy,,Social Sciences
Fischedick,Energy Technology,Energy Systems,Climate & Energy Policy,Technology Policy & Innovation,Engineering
Fisher-Vanden,Public Policy,Environmental Impact & Risk Assessment,Energy Systems,Climate & Energy Policy,Social Sciences
Fleurbaey,Economics,Welfare Economics,Philosophy,,Economics
Frankel,International Business Management*,Technology Policy & Innovation,,,Social Sciences
Fullerton,Economics,Environmental & Climate Economics,Welfare Economics,Climate & Energy Policy,Economics
Fulton,Energy Management & Environmental Policy ,Energy Systems,Environmental Policy,Climate & Energy Policy,Environmental Sciences
Fungtammasan,Mechanical Engineering,Environmental Engineering,,,Engineering
Gadgil,Physics,Environmental Engineering,Climate & Energy Policy,,Engineering
Gámez-Vázquez,International Relations,Climate & Energy Policy,Environmental Policy,,Social Sciences
"Gang, Wen",Climatology,Climate & Energy Policy,,,"Physical, Natural & Applied Sciences"
Garg,Technology*,Environmental Engineering,Energy Systems,Technology Policy & Innovation,"Physical, Natural & Applied Sciences"
Garrido-Vázquez,Economics,Climate & Energy Policy,Environmental Policy,,Economics
Geng,Chemical Engineering,Ecology,Sustainable Development,Energy Systems,Engineering
Gerlagh,Economics,Environmental Policy,Environmental & Climate Economics,Technology Policy & Innovation,Economics
Gollier,Economics,Development Economics,Environmental & Climate Economics,,Economics
Gomes,MD,,,,MD
Gómez-Echeverri,Environmental Management & Science,International Relations,Climate & Energy Policy,Environmental Policy,Social Sciences
Goulder,Economics,Environmental & Climate Economics,Climate & Energy Policy,,Economics
Grübler,Technical Sciences,Technology Policy & Innovation,Energy Systems,Biophysical & Ecolocial Modelling,Engineering
Guan,Ecological Economics,Energy Systems,Environmental & Climate Economics,Biophysical & Ecolocial Modelling,Economics
"Gupta, Joyeeta",Law,Climate & Energy Policy,Land Use Science,Environmental Policy,Social Sciences
"Gupta, Shreekant",Economics,Environmental & Climate Economics,Climate & Energy Policy,Environmental Policy,Economics
"Gupta, Sujata",Economics,Climate & Energy Policy,,,Economics
Gutiérrez-Espeleta,Biometrics,Environmental Policy,,,Social Sciences
Ha-Duong,Economic Analysis & Policy,Environmental Economics,Environmental Impact & Risk Assessment,,Economics
Haberl,Ecology,Biophysical & Ecological Modelling,Land Use Science,,"Physical, Natural & Applied Sciences"
Haites,Economics,Environmental & Climate Economics,,,Economics
Halsnaes,Economics,Environmental & Climate Economics,Development Economics,,Economics
Hanemann,Economics,Environmental & Climate Economics,Climate & Energy Policy,,Economics
Harnisch,Physics,Energy Systems,Environmental science,,"Physical, Natural & Applied Sciences"
Harper,Soil Science,Biophysical & Ecological Modelling,Land Use Science,,"Physical, Natural & Applied Sciences"
Harvey,Climate Modelling,Biophysical & Ecological Modelling,Energy Systems,Climate & Energy Policy,"Physical, Natural & Applied Sciences"
Hassan,Economics,Environmental & Climate Economics,Biophysical & Ecological Modelling,Climate & Energy Policy,Economics
Held,Physics,Biophysical & Ecological Modelling,Energy Systems,Climate & Energy Policy,"Physical, Natural & Applied Sciences"
Hertwich,Energy & Resources,Environmental Engineering,Energy Systems,Technology Policy & Innovation,Engineering
Höhne,Physics,Energy Systems,Climate & Energy Policy,,Environmental Sciences
Honnery,Engineering,Environmental Engineering,Energy Systems,Technology Policy & Innovation,Engineering
Hourcade,Economics,Climate & Energy Policy,Environmental & Climate Economics,,Economics
"Huang, Luxin (RIP)",MD,,,,MD
"Huang, Yongfu",Economics,Climate & Energy Policy,Environmental & Climate Economics,,Economics
Inaba,Engineering,Energy Systems,Technology Policy & Innovation,,Engineering
Infield,Applied Mathematics,Environmental Engineering,Energy Systems,Technology Policy & Innovation,Engineering
Ivanova-Boncheva,Economics,Environmental Policy,,,Social Sciences
Jafari,Plant Science,Biophysical & Ecological Modelling,,,"Physical, Natural & Applied Sciences"
Jaffe,Economics,Technology Policy & Innovation,Climate & Energy Policy,,Economics
Jänicke,Comparative Politics,Climate & Energy Policy,Environmental Policy,,Social Sciences
"Jiang, Kejun",Engineering,Environmental Engineering,Environmental Impact & Risk Assessment,,Engineering
"Jiang, Leiwen",Environmental Sciences,Demography Studies,Environmental Impact & Risk Assessment,,Social Sciences
"Jiang, Yi",Engineering,Environmental Engineering,Energy Systems,,Engineering
Jotzo,Economics,Environmental & Climate Economics,Climate & Energy Policy,Development Economics,Economics
Kahn-Ribeiro,Production Engineering,Climate & Energy Policy,,,Engineering
Kainuma,Applied Mathematics & Physics,Energy Systems,Computational Modelling,Environmental Policy,"Physical, Natural & Applied Sciences"
Kansal,Civil Engineering,Biophysical & Ecological Modelling,Environmental Impact & Risk Assessment,Technology Policy & Innovation,Engineering
Karrouk,Climatology,Biophysical & Ecological Modelling,,,"Physical, Natural & Applied Sciences"
Kartha,Physics,Environmental Justice,Climate & Energy Policy,,Social Sciences
Khennas,Energy Economics,Climate & Energy Policy,Energy Systems,,Economics
