Surname,Gender,Current Institution,Country of current work,Country of birth/citizenship,PhD or highest degree awarding institution ,PhD or highest degree awarding country,IPCC representing country (i.e. Country of residence from IPCC doc),IPCC AR5 WGIII chapter,Role in the chapter,Other Institution 1,Other Institution 2,Other Institution 3,Other Institution 4,Other Institution 5,Other Institution 6,Other Institution 7,Other Institution 8,Other Institution 9,Other Institution 10,Other Institution 11,Other Institution 12,Other Institution 13,Other Institution 13,Other Institution 14,Other Institution 15
Chimanikire,1,UoZimbabwe,Zimbabwe,MD,UoJawaharlal_Nehru,India,Zimbabwe,15,LA,MD,,,,,,,,,,,,,,,
Chingambo,1,ACCE,Zambia,MD,UoKent,UK,Zambia,16,LA,SOAS,Lusaka_Stock_exchange,,,,,,,,,,,,,,
Chum,0,NREL,USA,MD,UoSaoPaulo,Brazil,USA,7,LA,SERI,UoSaoPaulo,,,,,,,,,,,,,,
Clark,1,AgResearch,New_Zealand,MD,UoBangor,UK,New_Zealand,11,LA,MAFF_UK,AgResearch,,,,,,,,,,,,,,
Clarke,1,PNNL,USA,USA,UoStanford,USA,USA,6,CLA,RCG/Hagler_Baily,PacificGas_ElectricCompany,LLNL,,,,,,,,,,,,,
Clift,1,UoSurrey,UK,UK,UoMcGill,Canada,UK,10,RE,UoMcGill,ICL,UoCambridge,UoSurrey,,,,,,,,,,,,
Conte-Grand,0,UoCEMA,Argentina,Argentina,UoCalifornia_LosAngeles,USA,Argentina,13,LA,UoCEMA,UoBuenos_Aires,ISEG,UoCalifornia_LosAngeles,UNLP,,,,,,,,,,,
Cooke,1,TU_Delft,Netherlands,USA/Netherlands,UoYale,USA,USA,2,LA,UoYale,UoAmsterdam,TU_Delft,Strathclyde_Business_School,,,,,,,,,,,,
Corbera,1,ICTA-UAB,Spain,Spain,UEA,UK,Spain,4,LA,UoCambridge,UEA,Tyndall_CCR,ICTA-UAB,,,,,,,,,,,,
Cottier,1,UoBern,Switzerland,Switzerland,UoBern,Switzerland,Switzerland,14,LA,UoCambridge,UoSt_Gallen,UoNeuenburg,IPGRIR,GATT,,,,,,,,,,,
Creutzig,1,Tech_UoBerlin,Germany,MD,HU_Berlin,Germany,Germany,8,LA,BIE,,,,,,,,,,,,,,,
Cruz-Núñez,0,UNAM,Mexico,Mexico,UNAM,Mexico,Mexico,8,LA,UNAM,CNC,,,,,,,,,,,,,,
D'Agosto,1,UFRJ,Brazil,Brazil,COPPE,Brazil,Brazil,8,LA,UFRJ,COPPE,SMTU,Cr4_Consultoria,IME,CBPI,,,,,,,,,,
Dadhich,1,TERI,India,India,IIT,India,India,1,LA,MD,,,,,,,,,,,,,,,
De-La-Vega-Navarro,1,UNAM,Mexico,Mexico,UoGrenoble,France,Mexico,7,LA,UoMontreal,CNRS,Colegio_Mexico,UoGrenoble,,,,,,,,,,,,
Deakin,0,UoCalifornia_Berkeley,USA,MD,BC,USA,USA,8,RE,MD,,,,,,,,,,,,,,,
deConinck,0,ISIS,Netherlands,Netherlands,UoAmsterdam,Netherlands,Netherlands,5,LA,MPIC,ECN,,,,,,,,,,,,,,
Delgado-Ramos,1,UNAM,Mexico,Mexico,UAB,Spain,Mexico,12,LA,UNAM,UAQ,UIA,CLACSO,,,,,,,,,,,,
